,Address,Lat,Long,Provider
167,"Mahiuddin Pur Kanawni, Ghaziabad",28.67481,77.3841100000001,arcgis
168,"Saya Desire Residency, Ghaziabad",28.6461884604421,77.3818464475732,arcgis
169,"Sihani RdNoor Nagar, Sadiq Nagar, Sehani Kalan, GhuknaGhaziabad, Uttar Pradesh 201003",28.7340550000001,77.4210923140001,arcgis
170,"Krishna Apartments, Ghaziabad",28.6487000000001,77.35405,arcgis
171,"Gulmohur Tower, Shastri Nagar, Ghaziabad",28.67017,77.4638800000001,arcgis
172,"Avantika Extension, Chiranjeev Vihar, Ghaziabad",28.67557,77.4860600000001,arcgis
173,"Shine Homz Vasundhara, Ghaziabad",28.6625,77.36965,arcgis
174,"Nirmal Ashray Yojna, Ghaziabad",28.66249,77.4377700000001,arcgis
175,"C-5/51, Siddharth Vihar Bagu, Ghaziabad, 201009",28.64118,77.4131650000001,arcgis
176,"Sector-15 Vasundhara, Ghaziabad",28.6625,77.36965,arcgis
