,Address,Lat,Long,Provider
0,"Sector 2B Vasundhara, Ghaziabad",28.67047,77.38104,arcgis
1,"Block 8, Sector 3, Rajendra NagarGhaziabad, Uttar Pradesh 201005",28.6924450000001,77.34781,arcgis
2,"Arthala, Mohan NagarGhaziabad, Uttar Pradesh 201007India",28.6880600000001,77.3748850000001,arcgis
3,"Gali Number 4Arthala, Mohan NagarGhaziabad, Uttar Pradesh 201007",28.6880600000001,77.3748850000001,arcgis
4,"Shyam Park Extension, Ghaziabad",28.67992,77.36393,arcgis
5,"Raj Bagh, Ghaziabad",28.67816,77.4086100000001,arcgis
6,"Hindon Air Force Station, Hindon Residential AreaGhaziabad, Uttar Pradesh 201004India ",28.7039300000001,77.3701345740001,arcgis
7,"Vinayak Apartment, Ghaziabad",28.6372549170177,77.3342100786832,arcgis
8,"Sai Villa, Ghaziabad",28.6907433841249,77.3385661727739,arcgis
9,"NH-24, Hapur Road, Near Columbia Asia Hospital, Ghaziabad, Uttar Pradesh 201002",28.6660877848982,77.4226201139706,arcgis
10,"Nirmal Ashray Yojna, Ghaziabad",28.66249,77.4377700000001,arcgis
11,"Crescent park, Ghaziabad",28.6465600000001,77.3844900000001,arcgis
12,"Sector-15 Vasundhara, Ghaziabad",28.6625,77.36965,arcgis
13,"Rise Organic Ghar, Ghaziabad",28.66249,77.4377700000001,arcgis
14,"Shastri Nagar, Ghaziabad",28.6711527,77.4120356,geocoded
15,"Sheoran Residency, Ghaziabad",28.66249,77.4377700000001,arcgis
16,"Vivekanand Nagar, Vivekanand Nagar, Ghaziabad",28.6531600000001,77.4521800000001,arcgis
17,"Sahar Plaza Apartment, Ghaziabad",28.6827500000001,77.3625300000001,arcgis
18,"Panchvati Colony, Ghaziabad",28.64757,77.4430400000001,arcgis
19,"494, Block DBlock D, Lajpat Nagar, Sector 4, Rajendra NagarGhaziabad, Uttar Pradesh 201005India ",28.6924450000001,77.34781,arcgis
20,Ghaziabad,28.66249,77.4377700000001,arcgis
21,"Vivekanand Nagar, Ghaziabad",28.6531600000001,77.4521800000001,arcgis
22,"Sahibabad, ghaziabad",28.6628775503437,77.3484165535705,arcgis
23,"vivekananda nagar, ghaziabad",28.6531600000001,77.4521800000001,arcgis
24,"Marium Nagar, Next to Mariyam Hospital, Nandgram, GhuknaMarium Nagar, Sewa NagarGhaziabad, Uttar Pradesh 201003India ",28.7340550000001,77.4210923140001,arcgis
25,"Rakesh marg gt road, ghaziabad",28.6541848865543,77.4499186701685,arcgis
26,"4C/366,Vartalok Apartment,Vasundhara, ghaziabad",28.6673010036067,77.3776150932541,arcgis
27,"CE - 58 KAVI NAGAR GHAZIABAD, ghaziabad",28.66709,77.45,arcgis
28,"Sahibabad Industrial Area Site 4, Ghaziabad",28.65959,77.33847,arcgis
29,"NH-24, Hapur Road, Near Columbia Asia Hospital, Ghaziabad, Uttar Pradesh 201002",28.6660877848982,77.4226201139706,arcgis
30,"G R Garden, Ghaziabad",28.6164900000001,77.4570200000001,arcgis
31,"Sahar Plaza Apartment, Ghaziabad",28.6827500000001,77.3625300000001,arcgis
32,"Mahendra Enclave, Ghaziabad",28.66461,77.4645600000001,arcgis
33,"Nehru Nagar III, Ghaziabad",28.65655,77.4431000000001,arcgis
34,"Chipiyana Buzurg, Ghaziabad",28.62517,77.45401,arcgis
35,"Panchsheel Primrose, Ghaziabad",28.67877,77.4850500000001,arcgis
36,"NIMT RdGhaziabad, Uttar Pradesh 201007India ",28.6708,77.4348900000001,arcgis
37,"Sector-16 Vasundhara, Ghaziabad",28.6653900000001,77.3913800000001,arcgis
38,"GDA Nyay Khand 2, Ghaziabad",28.6367900000001,77.3593000000001,arcgis
39,"Krishna Apra Gardens, Ghaziabad",28.63573,77.36625,arcgis
40,"Ajpa Dronagiri, Ghaziabad",28.66249,77.4377700000001,arcgis
41,"Sector 7, VasundharaGhaziabad, Uttar Pradesh 201012India",28.6716,77.3792650000001,arcgis
42,"13, Niti Khand-1, IndirapuramNiti Khand I, IndirapuramGhaziabad, Uttar Pradesh 201010India ",28.6600581710001,77.3413744050001,arcgis
43,"Mohan Nagar Link RdShipra Suncity, IndirapuramGhaziabad, Uttar Pradesh 201307India ",28.6321250000001,77.3778850000001,arcgis
44,"Vasundhra Indirapuram Highway, Near DPS IndirapuramKinauni Village, IndirapuramGhaziabad, Uttar Pradesh 201002India ",28.67175631,77.4730675000001,arcgis
45,"Sector-15 Vasundhara, Ghaziabad",28.6625,77.36965,arcgis
46,"914Niti Khand I, IndirapuramGhaziabad, Uttar Pradesh 201014India ",28.65591,77.3759700000001,arcgis
47,"Shastri Nagar, Ghaziabad",28.67017,77.4638800000001,arcgis
48,"4/5, Om Plaza, Sector 15C, VasundharaSector 15, VasundharaGhaziabad, Uttar Pradesh 201012India ",28.6716,77.3792650000001,arcgis
49,"Excellent Residency, Ghaziabad",28.66249,77.4377700000001,arcgis
50,"Chiranjeev Vihar, Ghaziabad",28.66905,77.4721300000001,arcgis
51,"Mahagunpuram Ghaziabad, Uttar Pradesh ",28.6664067449362,77.4808216552888,arcgis
52,"Nehru Nagar, Ghaziabad",28.65919,77.44102,arcgis
53,"Sanjay Nagar, Ghaziabad",28.6965000000001,77.4556600000001,arcgis
54,"Sector-10 Raj Nagar, Ghaziabad",28.68044,77.4463500000001,arcgis
55,"Shakti Khand 2, Ghaziabad",28.67816,77.4086100000001,arcgis
56,"Nehru Nagar II, Ghaziabad",28.6652500000001,77.4398400000001,arcgis
57,"Mahalakshmi Apartment Ghaziabad, Ghaziabad",28.6437700000001,77.3445600000001,arcgis
58,"SP HOMES, Govind Puram, Ghaziabad",28.68924,77.4876800000001,arcgis
59,"K Block, Kavi Nagar, Ghaziabad",28.67177,77.45284,arcgis
60,"Atma Ram Apartment, Ghaziabad",28.6643767682497,77.3264071676381,arcgis
61,"Balaji Apartment, Ghaziabad",28.64648,77.42643,arcgis
62,"Nehru Nagar III, Ghaziabad",28.65655,77.4431000000001,arcgis
63,"Vivekanand Nagar, Ghaziabad",28.6531600000001,77.4521800000001,arcgis
64,"CIRD (Ashram) Sector 5A Sector 5, VasundharaGhaziabad, Uttar Pradesh 201012",28.6716,77.3792650000001,arcgis
65,"Silver Land Apartment, Ghaziabad",28.65705,77.4491600000001,arcgis
66,"Vaishali RdSector 2, VaishaliGhaziabad, Uttar Pradesh 201010",28.6477559999911,77.3347094999866,arcgis
67,"Thana Link Road33/11 kv sub-station IIMaharajpur, Sahibabad Industrial Area Site 4, SahibabadGhaziabad, Uttar Pradesh 201010, India ",28.6461675687053,77.3220958209306,arcgis
68,"NH-24, Hapur Road, Near Columbia Asia Hospital, Ghaziabad, Uttar Pradesh 201002",28.6660877848982,77.4226201139706,arcgis
69,"Meerut Road Industrial Area, Ghaziabad",28.69836,77.4477000000001,arcgis
70,"Vista Homes, Vasundhra, Ghaziabad",28.6625,77.36965,arcgis
71,"Excellent Residency, Ghaziabad",28.66249,77.4377700000001,arcgis
72,"Bank Enclave, Ghaziabad",28.6267,77.4727,arcgis
73,"Nehru Nagar II, Ghaziabad",28.6652500000001,77.4398400000001,arcgis
74,"Sector-5 Vaishali , Ghaziabad",28.64473,77.3451700000001,arcgis
75,"Kali Mandir Marg, Lajpat Nagar, Block G, Pyare Lal Colony, Rajendra NagarLajpat Nagar, Block G, Pyare Lal Colony, Rajendra NagarGhaziabad, Uttar Pradesh 201007",28.6861800000001,77.3723950000001,arcgis
76,"Celebration Red Mall, Ghaziabad",28.6789000000001,77.38174,arcgis
77,"Swarn Jayanti Park Niti Khand 3, Manoj Vihar, Indirapuram",28.6417675109643,77.3780975779907,arcgis
78,"Sector 16, VasundharaGhaziabad, Uttar Pradesh 201012India",28.6563600000001,77.3579,arcgis
79,"Indirapuram, ghaziabad",28.63951,77.3627100000001,arcgis
80,"157, Mahagun mascot, crossing Republik, ghaziabad",28.6297961174043,77.4379831640314,arcgis
81,"Vaishali, ghaziabad",28.6415700000001,77.3380000000001,arcgis
82,"Ebony Greens Phase 1, Ghaziabad",28.6415700000001,77.3627100000001,arcgis
83,"M 282 SF 4 SECTOR 12 PRATAP VIHAR, ghaziabad",28.6490200000001,77.4143800000001,arcgis
84,"A-12 GREEN VIEW RAJ NAGAR EXTENSION GHAZIABAD, ghaziabad",28.6652500000001,77.4285800000001,arcgis
85,"792,Vivekanad Nagar, ghaziabad",28.6531600000001,77.4521800000001,arcgis
86,"jai bharat enclave near sahibabad thana , sahibabad, ghaziabad",28.67105,77.36832,arcgis
87,"CV-16, Sector-23, Sanjay Nagar, ghaziabad",28.6965000000001,77.4556600000001,arcgis
88,"#302, Plot no 298A, Sector-4, Vaishali, ghaziabad",28.6476700000001,77.34045,arcgis
89,"B-415, Gaur Homes, Govindpuram, ghaziabad",28.69188,77.4916700000001,arcgis
90,"Sheoran Residency, Ghaziabad",28.66249,77.4377700000001,arcgis
91,"Silver Land Apartment, Ghaziabad",28.65705,77.4491600000001,arcgis
92,"New Panchwati Colony, Ghaziabad",28.64757,77.4430400000001,arcgis
93,"Gagan Enclave, Amrit Nagar, Ghaziabad",28.64446,77.4466300000001,arcgis
94,"Arya Nagar, Ghaziabad",28.6660877848982,77.2903400000001,arcgis
95,"Panchvati Colony, Ghaziabad",28.64757,77.4430400000001,arcgis
96,"Vivekanand Nagar, Vivekanand Nagar, Ghaziabad",28.6531600000001,77.4521800000001,arcgis
97,"New Panchwati Colony, Ghaziabad",28.64757,77.4430400000001,arcgis
98,"Ansal Avantika, Ghaziabad",28.6732500000001,77.4804500000001,arcgis
99,"Krishna Vihar, Ghaziabad",28.6415700000001,77.3310500000001,arcgis
100,"builder flat, Dundahera, Ghaziabad",28.63417,77.4399800000001,arcgis
101,"Assotech The Nest Maxi Homes Phase 2, Ghaziabad",28.6396300000001,77.4077500000001,arcgis
102,"Golf Green, Ghaziabad",28.6245200000001,77.4364,arcgis
103,"Mahagun Montage, Ghaziabad",28.66249,77.4377700000001,arcgis
104,"Supertech Livingston, Ghaziabad",28.6295798243119,77.4380338899533,arcgis
105,"Sushant Aquapolis, Ghaziabad",28.62990380322,77.4418935277569,arcgis
106,"Jaipuria Sunrise Greens, Ghaziabad",28.6404012084367,77.3761961472387,arcgis
107,"Sushant Aquapolis, Ghaziabad",28.62990380322,77.4418935277569,arcgis
108,"Prem Nagar, Ghaziabad",28.66734,77.41425,arcgis
109,"Bazaria, Ghaziabad",28.66249,77.4377700000001,arcgis
110,"Turab Nagar, Ghaziabad",28.66033,77.43348,arcgis
111,"Sector-1 Vasundhara, Ghaziabad",28.6653900000001,77.3913800000001,arcgis
112,"Patel Nagar-II, Ghaziabad",28.67348,77.42229,arcgis
113,"NH 91, Ghaziabad",28.6248915,77.4769995,arcgis
114,"Nehru Nagar II, Ghaziabad",28.6652500000001,77.4398400000001,arcgis
115,"Naya ganj, Ghaziabad",28.6651200000001,77.4284200000001,arcgis
116,"Rajnagar, Ghaziabad",28.68109,77.4466100000001,arcgis
117,"vaishali sec-5, ghaziabad",28.6415700000001,77.3380000000001,arcgis
118,"vasundhara, ghaziabad",28.6625,77.36965,arcgis
119,"292 Girdhar Enclave, ghaziabad",28.67816,77.4086100000001,arcgis
120,"bhikanpur, ghaziabad",28.66249,77.4377700000001,arcgis
121,"Aditya Park Town, Ghaziabad",28.67263,77.4363000000001,arcgis
122,"Shouryapuram Apartments, Ghaziabad",28.62990380322,77.4363000000001,arcgis
123,"Patel Nagar 3, Ghaziabad",28.67348,77.42229,arcgis
124,"Nandgram, Ghaziabad",28.6887100000001,77.4062900000001,arcgis
125,"Sewa nagar, Ghaziabad",28.67812,77.4172800000001,arcgis
126,"Shri Balaji apartments, Patel marg, Patel Nagar, Ghaziabad",28.6725900000001,77.42398,arcgis
127,"Himalaya Tanishq, Ghaziabad",28.66742,77.4334900000001,arcgis
128,"SG Impressions 58 Phase 2 Ivory Tower, Ghaziabad",28.6618903061342,77.3792760277569,arcgis
129,"SH 57Islam Nagar Village, MadhopuraGhaziabad, Uttar Pradesh 201009",28.6401300000001,77.4226150000001,arcgis
130,"Link RdPIR Colony, Sahibabad Industrial Area Site 4, SahibabadGhaziabad, Uttar Pradesh 201010",28.67159,77.3600300000001,arcgis
131,"KDPMGI Gharaunda, Ghaziabad",28.69154,77.4870000000001,arcgis
132,"Quantum Residency, Ghaziabad",28.6991800000001,77.4240800000001,arcgis
133,"Krishna Aprameya Residency, Ghaziabad",28.7004121712448,77.4214139285302,arcgis
134,"Gaur Cascades, Ghaziabad",28.66249,77.4377700000001,arcgis
135,"Milan Earth, Ghaziabad",28.7018328198685,77.4280104929309,arcgis
136,"Maia Marvel, Ghaziabad",28.66249,77.4377700000001,arcgis
137,"Uninav Heights, Ghaziabad",28.66249,77.4377700000001,arcgis
138,"Block D, Nandgram, GhuknaGhaziabad, Uttar Pradesh 201003India ",28.6971050000001,77.4024800000001,arcgis
139,"Bankey Bihari Aggarwal Heights, Ghaziabad",28.66826,77.4322700000001,arcgis
140,"Krishna Enclave Plot, Ghaziabad",28.6493,77.43899,arcgis
141,"KDP MGI Sparrow, Ghaziabad",28.6915399098043,77.4870032463212,arcgis
142,"On Request, N.H-58, Ghaziabad",28.6670195844249,77.3673605184172,arcgis
143,"Migsun Roof, Ghaziabad",28.66249,77.4377700000001,arcgis
144,"Nilaya Greens, Ghaziabad",28.66249,77.4377700000001,arcgis
145,"SG Benefit, Ghaziabad",28.66249,77.4377700000001,arcgis
146,"Medos Vista, Ghaziabad",28.66693,77.43465,arcgis
147,"Gardenia Glamour, Ghaziabad",28.66249,77.4377700000001,arcgis
148,"Swarn Jayanti Puram , Ghaziabad",28.6970400000001,77.48677,arcgis
149,"GDA Flat, Ghaziabad",28.7003700000001,77.4885200000001,arcgis
150,"Golden Bell Apartment, Ghaziabad",28.6618903061342,77.4491300000001,arcgis
151,"Swarn Jayanti Puram , Ghaziabad",28.6970400000001,77.48677,arcgis
152,"Sector-14 Vasundhara, Ghaziabad",28.6585700000001,77.35943,arcgis
153,"SF101,shastri nagar ,GHAZIABAD., ghaziabad",28.67017,77.4638800000001,arcgis
154,"RDC RAJNAGAR, ghaziabad",28.68109,77.4466100000001,arcgis
155,"51/1 Swaroop Park,lajpat nagar,Sahibabad, ghaziabad",28.6799500000001,77.37098,arcgis
156,"3rd-h-68, rakesh marg nehru nagar ghaziabad, ghaziabad",28.6541848865543,77.4499186701685,arcgis
157,"C 106 ground floor, Ramprastha colony, ghaziabad",28.66011,77.3229500000001,arcgis
158,"Rahul Vihar, Ghaziabad",28.75361,77.27579,arcgis
159,"Sanjay Nagar, ghaziabad",28.6965000000001,77.4556600000001,arcgis
160,"Sector-12 Pratap Vihar, Ghaziabad",28.6490200000001,77.4143800000001,arcgis
161,"modinagar, ghaziabad",28.6354800000001,77.5762500000001,arcgis
162,"Indirapuram, ghaziabad",28.63951,77.3627100000001,arcgis
163,"pratap vihar, vijay nagar",28.64052,77.42124675,arcgis
164,"3rd-h-68, rakesh marg nehru nagar ghaziabad, ghaziabad",28.6541848865543,77.4499186701685,arcgis
165,"vijay nagar, ghaziabad",28.6458200000001,77.42643,arcgis
166,"Meerut RdSector 7, Patel Nagar 2nd, Patel NagarGhaziabad, Uttar Pradesh 201003",28.6757957823956,77.4184908601222,arcgis
